S/No.,Gender,Profession,Fam. Size,Fuel Expenditure,Cooking Experience,Cost Opinion,Opinionated Solution,Cooking System
130,Female,Artisan,3,3500.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
131,Female,Trading,6,3500.00,Indifferent,Expensive,Price Consideration,Non-LPG System Combined
132,Female,Civil Service,4,3500.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
133,Female,Civil Service,5,3500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
134,Female,Artisan,5,3500.00,Indifferent,Expensive,Price Consideration,Non-LPG System Combined
135,Female,Student,4,3500.00,Easy,Affordable,Price Consideration,Non-LPG System Combined
136,Female,Trading,5,3300.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
137,Female,Artisan,8,3200.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
138,Female,Trading,4,3200.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
139,Female,Trading,2,3100.00,Easy,Expensive,A Replacement,Non-LPG System Combined
140,Female,Artisan,2,3000.00,Indifferent,Affordable,Price Consideration,Non-LPG System Single
141,Female,Housewife,4,3000.00,Indifferent,Expensive,Price Consideration,Non-LPG System Single
142,Female,Teaching,5,3000.00,Indifferent,Affordable,A Replacement,Non-LPG System Single
143,Female,Trading,3,3000.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
144,Female,Trading,4,3000.00,Indifferent,Expensive,Price Consideration,Non-LPG System Single
145,Female,Student,3,3000.00,Easy,Expensive,Price Consideration,Non-LPG System Single
146,Female,Teaching,3,3000.00,Indifferent,Expensive,Price Consideration,Non-LPG System Single
147,Female,Teaching,3,3000.00,Easy,Expensive,Price Consideration,Non-LPG System Single
148,Female,Artisan,4,3000.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
149,Female,Student,2,3000.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
150,Female,Student,2,3000.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
151,Female,Teaching,3,3000.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
152,Female,Trading,4,3000.00,Easy,Expensive,Price Consideration,Non-LPG System Combined
153,Male,Student,2,3000.00,Easy,Expensive,Price Consideration,Non-LPG System Combined
154,Female,Teaching,4,3000.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
155,Female,Teaching,3,3000.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
156,Female,Trading,10,3000.00,Stressful,Expensive,Stable Electricity,Non-LPG System Combined
157,Female,Civil Service,7,3000.00,Easy,Affordable,Stable Electricity,Non-LPG System Combined
158,Female,Civil Service,4,2800.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
159,Female,Trading,5,2800.00,Indifferent,Expensive,Price Consideration,Non-LPG System Combined
160,Female,Trading,2,2800.00,Indifferent,Expensive,Better Alternatives,Non-LPG System Single
161,Female,Trading,7,2600.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
162,Female,Trading,6,2600.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
163,Female,Trading,6,2500.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
164,Female,Artisan,7,2500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
165,Female,Trading,4,2500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
166,Female,Teaching,4,2500.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
167,Female,Artisan,3,2500.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
168,Female,Artisan,4,2500.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
169,Female,Artisan,4,2500.00,Stressful,Affordable,Better Alternatives,Non-LPG System Combined
170,Female,Trading,1,2500.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
171,Female,Trading,8,2500.00,Easy,Expensive,Price Consideration,Non-LPG System Combined
172,Female,Trading,5,2500.00,Indifferent,Expensive,Price Consideration,Non-LPG System Combined
173,Female,Trading,8,2500.00,Indifferent,Expensive,Price Consideration,Non-LPG System Combined
174,Female,Trading,4,2500.00,Indifferent,Expensive,Better Alternatives,Non-LPG System Single
175,Female,Trading,6,2500.00,Easy,Expensive,Price Consideration,Non-LPG System Single
176,Male,Teaching,4,2500.00,Indifferent,Expensive,Price Consideration,Non-LPG System Single
177,Female,Teaching,4,2500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
178,Female,Teaching,8,2500.00,Easy,Expensive,Better Alternatives,Non-LPG System Single
179,Female,Teaching,4,2500.00,Stressful,Expensive,Better Alternatives,LPG System Alone
180,Female,Teaching,5,2500.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
181,Female,Teaching,4,2500.00,Easy,Expensive,Price Consideration,Non-LPG System Single
182,Female,Artisan,6,2400.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
183,Female,Artisan,2,2400.00,Indifferent,Expensive,Better Alternatives,Non-LPG System Single
184,Female,Artisan,4,2400.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
185,Female,Artisan,4,2300.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
186,Female,Housewife,2,2300.00,Indifferent,Affordable,Stable Electricity,Non-LPG System Single
187,Female,Trading,2,2200.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
188,Female,Trading,4,2200.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
189,Female,Teaching,4,2200.00,Easy,Expensive,Price Consideration,Non-LPG System Single
190,Female,Teaching,2,2200.00,Easy,Expensive,Price Consideration,Non-LPG System Single
191,Female,Teaching,6,2200.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
192,Female,Trading,6,2000.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
193,Female,Trading,3,2000.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
194,Female,Artisan,4,2000.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
195,Female,Teaching,4,2000.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
196,Female,Teaching,5,2000.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
197,Female,Teaching,2,2000.00,Easy,Expensive,Stable Electricity,Non-LPG System Combined
198,Female,Trading,6,2000.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
199,Female,Housewife,7,2000.00,Indifferent,Expensive,Better Alternatives,Non-LPG System Combined
200,Female,Trading,2,2000.00,Indifferent,Affordable,Better Alternatives,Non-LPG System Combined
201,Female,Housewife,2,2000.00,Indifferent,Affordable,Better Alternatives,Non-LPG System Combined
202,Female,Teaching,2,2000.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
203,Female,Trading,6,2000.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
204,Female,Trading,5,2000.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
205,Female,Artisan,3,2000.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
206,Female,Trading,3,2000.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
207,Female,Trading,1,2000.00,Easy,Expensive,Better Alternatives,Non-LPG System Single
208,Female,Teaching,3,2000.00,Easy,Expensive,Price Consideration,Non-LPG System Single
209,Female,Teaching,3,2000.00,Easy,Expensive,Price Consideration,Non-LPG System Single
210,Female,Teaching,4,2000.00,Stressful,Expensive,A Replacement,Non-LPG System Single
211,Female,Trading,5,2000.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
212,Female,Teaching,3,2000.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
213,Female,Teaching,5,2000.00,Easy,Expensive,Price Consideration,Non-LPG System Combined
214,Female,Teaching,8,2000.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
215,Female,Student,6,2000.00,Easy,Affordable,Stable Electricity,Non-LPG System Combined
216,Female,Student,1,2000.00,Indifferent,Expensive,Stable Electricity,Non-LPG System Combined
217,Female,Trading,1,2000.00,Easy,Expensive,Price Consideration,Non-LPG System Single
218,Female,Student,7,1900.00,Indifferent,Expensive,Better Alternatives,Non-LPG System Combined
219,Female,Artisan,4,1900.00,Easy,Expensive,Stable Electricity,Non-LPG System Combined
220,Female,Teaching,4,1800.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
221,Female,Artisan,7,1800.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
222,Female,Trading,6,1800.00,Easy,Affordable,Better Alternatives,Non-LPG System Combined
223,Female,Teaching,5,1800.00,Easy,Expensive,Price Consideration,Non-LPG System Combined
224,Female,Trading,6,1700.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
225,Female,Artisan,4,1700.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
226,Female,Trading,1,1700.00,Indifferent,Expensive,Better Alternatives,Non-LPG System Combined
227,Female,Teaching,3,1700.00,Easy,Expensive,Price Consideration,Non-LPG System Combined
228,Female,Trading,5,1600.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
229,Female,Trading,4,1600.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
230,Female,Artisan,4,1600.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
231,Female,Student,1,1600.00,Easy,Expensive,Price Consideration,Non-LPG System Combined
232,Female,Nursing,8,1500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
233,Female,Trading,10,1500.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
234,Female,Trading,7,1500.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
235,Female,Trading,4,1500.00,Indifferent,Expensive,Better Alternatives,Non-LPG System Single
236,Female,Artisan,1,1500.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
237,Female,Civil Service,7,1500.00,Easy,Expensive,Better Alternatives,Non-LPG System Single
238,Female,Trading,7,1500.00,Stressful,Affordable,Better Alternatives,Non-LPG System Single
239,Female,Teaching,6,1500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
240,Female,Teaching,4,1500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
241,Female,Artisan,8,1500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
242,Female,Trading,3,1500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
243,Female,Teaching,5,1500.00,Easy,Expensive,Price Consideration,Non-LPG System Single
244,Female,Trading,4,1500.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
245,Female,Teaching,5,1500.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
246,Female,Artisan,5,1500.00,Easy,Affordable,Price Consideration,Non-LPG System Combined
247,Female,Artisan,3,1500.00,Indifferent,Expensive,Better Alternatives,Non-LPG System Combined
248,Female,Teaching,4,1500.00,Easy,Expensive,Price Consideration,Non-LPG System Combined
249,Female,Artisan,3,1500.00,Indifferent,Affordable,Better Alternatives,Non-LPG System Single
250,Female,Artisan,1,2600.00,Easy,Expensive,Stable Electricity,Non-LPG System Combined
251,Female,Trading,5,2000.00,Easy,Expensive,Stable Electricity,Non-LPG System Combined
252,Female,Trading,2,1200.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
253,Male,Trading,1,1050.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
254,Female,Teaching,1,1000.00,Easy,Affordable,Better Alternatives,Non-LPG System Single
255,Female,Trading,3,1000.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
256,Female,Student,2,1000.00,Easy,Expensive,Better Alternatives,Non-LPG System Single
257,Female,Student,10,1000.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
258,Female,Student,1,500.00,Easy,Expensive,Better Alternatives,Non-LPG System Combined
259,Female,Trading,10,3000.00,Stressful,Cheap,Better Alternatives,Non-LPG System Single
260,Female,Trading,8,3000.00,Indifferent,Cheap,Better Alternatives,Non-LPG System Combined
261,Female,Teaching,9,3000.00,Indifferent,Expensive,Better Alternatives,Non-LPG System Single
262,Female,Trading,6,3000.00,Stressful,Expensive,Better Alternatives,Non-LPG System Combined
263,Female,Teaching,3,3000.00,Easy,Expensive,Better Alternatives,Non-LPG System Single
264,Male,Student,1,3000.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
265,Female,Teaching,1,1260.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
266,Female,Student,1,1200.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
267,Male,Student,1,1000.00,Stressful,Expensive,Price Consideration,Non-LPG System Single
268,Female,Student,1,1000.00,Stressful,Expensive,Price Consideration,Non-LPG System Combined
269,Female,Teaching,5,3000.00,Easy,Expensive,Price Consideration,Non-LPG System Single
270,Female,Trading,1,1000.00,Indifferent,Expensive,Stable Electricity,Non-LPG System Single
271,Male,Artisan,4,1000.00,Stressful,Expensive,Stable Electricity,Non-LPG System Combined
272,Male,Student,2,1000.00,Easy,Affordable,Stable Electricity,Non-LPG System Combined
273,Male,Student,2,3000.00,Indifferent,Affordable,Stable Electricity,Non-LPG System Single
274,Female,Trading,3,3000.00,Easy,Cheap,Stable Electricity,Non-LPG System Single
275,Female,Trading,2,3000.00,Easy,Cheap,Stable Electricity,Non-LPG System Single
276,Male,Artisan,6,3000.00,Easy,Affordable,Stable Electricity,Non-LPG System Single
277,Female,Teaching,6,3000.00,Indifferent,Affordable,Stable Electricity,Non-LPG System Single
278,Female,Student,1,3000.00,Easy,Affordable,Stable Electricity,Non-LPG System Single
279,Male,Artisan,2,1000.00,Stressful,Expensive,Better Alternatives,Non-LPG System Single
280,Female,Teaching,3,1000.00,Easy,Expensive,Price Consideration,Non-LPG System Single
281,Female,Artisan,4,1000.00,Easy,Expensive,Stable Electricity,Non-LPG System Combined
282,Female,Student,1,500.00,Easy,Expensive,Stable Electricity,Non-LPG System Combined
283,Male,Student,1,3000.00,Indifferent,Cheap,Better Alternatives,Non-LPG System Single
